date	smin	smax	smean	tmean
01/01/2009 	16.112259  	26.19272   	19.547636  	 0.71516870
02/01/2009 	13.483274  	24.20230   	18.189714  	 0.92238524
03/01/2009 	14.574737  	24.09046   	17.699956  	 0.89087924
04/01/2009 	13.449266  	26.91585   	16.902892  	 1.36783632
05/01/2009 	14.508286  	25.85247   	20.022910  	 1.42246822
06/01/2009 	14.953053  	24.41200   	18.279011  	 0.34782075
07/01/2009 	15.968035  	22.51663   	17.758240  	 0.47352654
08/01/2009 	13.872012  	22.40157   	17.665430  	 0.39347328
09/01/2009 	14.268813  	20.54471   	17.019185  	 0.31633864
10/01/2009 	14.936885  	20.52867   	17.792855  	 0.07899511
11/01/2009 	15.549201  	19.50643   	18.240204  	 0.08046652
12/01/2009 	13.684456  	21.55807   	19.427368  	 0.43801824
13/01/2009 	17.888538  	22.17771   	21.041707  	 0.98790547
14/01/2009 	16.355564  	22.06213   	19.691052  	 1.37550873
15/01/2009 	 9.482889  	20.71369   	16.652356  	 1.33219379
16/01/2009 	 6.905900  	18.00385   	13.602863  	 1.17678194
17/01/2009 	10.663762  	20.25912   	16.466849  	 1.45296753
18/01/2009 	19.341669  	23.63661   	21.934507  	 2.20845522
19/01/2009 	22.308249  	23.57178   	23.315665  	 2.53289767
20/01/2009 	22.420155  	23.20153   	23.011206  	 2.80611000
21/01/2009 	18.642998  	23.65944   	22.285534  	 2.63983445
22/01/2009 	11.390431  	23.84022   	21.439012  	 2.51735630
23/01/2009 	19.426140  	26.59942   	24.638344  	 2.76685755
24/01/2009 	23.578627  	26.80197   	25.614354  	 2.90550122
25/01/2009 	14.553236  	26.22915   	23.916883  	 2.81914229
26/01/2009 	14.382305  	24.26046   	20.823373  	 2.40879784
27/01/2009 	13.263974  	23.12963   	19.103654  	 1.94022246
28/01/2009 	12.006529  	21.24709   	17.488871  	 1.51565292
29/01/2009 	11.353966  	20.29388   	16.889061  	 1.16487536
30/01/2009 	14.431122  	20.97259   	17.480161  	 0.67763006
31/01/2009 	15.788427  	23.19110   	18.827241  	 0.16863281
01/02/2009 	17.345745  	24.19800   	20.851435  	-0.21861121
02/02/2009 	19.105854  	25.61799   	22.177504  	-0.39836856
03/02/2009 	20.425419  	23.13317   	22.080169  	 0.04965644
04/02/2009 	20.883816  	23.42928   	22.306249  	 0.34629734
05/02/2009 	18.263784  	23.53926   	22.022980  	 0.48122857
06/02/2009 	16.850039  	23.31746   	20.930391  	 0.84437068
07/02/2009 	15.581680  	22.01631   	19.696434  	 1.00620816
08/02/2009 	14.565015  	20.69917   	18.635455  	 1.08478340
09/02/2009 	12.426579  	20.41221   	17.758695  	 1.18299662
10/02/2009 	11.501542  	20.17674   	16.567286  	 1.29479676
11/02/2009 	14.191148  	24.55997   	18.984200  	 1.60128377
12/02/2009 	16.220903  	23.10786   	18.539871  	 1.80043639
13/02/2009 	14.516381  	21.92148   	17.659262  	 1.94692356
14/02/2009 	12.513816  	20.33872   	16.272030  	 1.69192512
15/02/2009 	10.073411  	18.37546   	14.863165  	 1.78051086
16/02/2009 	 9.326138  	16.62994   	13.648330  	 2.24676386
17/02/2009 	 8.014444  	16.65926   	12.825308  	 2.60124076
18/02/2009 	 7.782784  	15.98862   	12.324667  	 2.44198549
19/02/2009 	 9.437278  	16.54256   	13.143427  	 2.36863228
20/02/2009 	 9.890749  	16.36241   	13.725307  	 2.63936319
21/02/2009 	 7.286040  	15.05034   	12.237805  	 2.81731739
22/02/2009 	 7.596572  	14.81669   	11.996182  	 3.10316755
23/02/2009 	 7.510820  	14.19355   	11.143904  	 3.55040690
24/02/2009 	 6.668690  	16.46517   	11.142895  	 3.93153910
25/02/2009 	 4.642179  	12.92784   	 9.682802  	 3.91991471
26/02/2009 	 8.055624  	15.91191   	11.875666  	 4.21615188
27/02/2009 	 9.094006  	21.31699   	14.164382  	 4.82520921
28/02/2009 	 8.875469  	14.61307   	11.745960  	 5.04372693
01/03/2009 	 8.294018  	13.78972   	11.088605  	 4.97756985
02/03/2009 	 8.148512  	14.34575   	11.454955  	 5.08656045
03/03/2009 	 8.495049  	14.95020   	12.342413  	 5.09593744
04/03/2009 	 7.000191  	15.69410   	12.723911  	 4.91662823
05/03/2009 	10.034306  	18.56944   	14.705457  	 4.99681406
06/03/2009 	 9.986155  	17.66230   	14.220951  	 4.93633797
07/03/2009 	 9.585489  	14.99184   	13.107975  	 4.76775826
08/03/2009 	 8.485972  	16.24995   	14.136410  	 5.04842401
09/03/2009 	14.458236  	18.79439   	16.775799  	 5.07682284
10/03/2009 	13.503202  	17.59459   	16.482095  	 5.04266938
11/03/2009 	11.938420  	16.62977   	14.982585  	 5.01520378
12/03/2009 	 8.162530  	15.42515   	13.120902  	 5.28489838
13/03/2009 	 8.674267  	14.55928   	12.151553  	 5.56769447
14/03/2009 	 6.966722  	13.63733   	10.846217  	 5.80970752
15/03/2009 	 6.748352  	14.56935   	10.990381  	 5.99268379
16/03/2009 	 4.327886  	12.82726   	 9.828768  	 6.29572418
17/03/2009 	 4.921869  	13.06315   	 9.177687  	 6.57172084
18/03/2009 	 3.684504  	12.07704   	 8.347424  	 6.61946362
19/03/2009 	 3.967000  	12.69206   	 8.290505  	 6.69505026
20/03/2009 	 3.656451  	12.69497   	 8.480006  	 6.54224223
21/03/2009 	 4.202130  	13.58468   	 9.402766  	 6.74167392
22/03/2009 	 6.539695  	12.10333   	 9.644590  	 6.76099580
23/03/2009 	 7.086672  	24.52266   	12.803065  	 6.80188358
24/03/2009 	13.127466  	24.24644   	18.169775  	 6.53513440
25/03/2009 	 8.893244  	15.19117   	13.576557  	 6.55209600
26/03/2009 	 8.642005  	16.44364   	13.582853  	 6.54655489
27/03/2009 	12.372351  	20.22109   	14.730076  	 6.47657289
28/03/2009 	10.842615  	16.61782   	14.558791  	 6.52550683
29/03/2009 	11.457469  	14.89766   	13.368820  	 6.60762242
30/03/2009 	 7.681825  	13.83179   	12.086291  	 6.53700920
31/03/2009 	 6.031265  	13.39140   	10.731622  	 6.88877555
01/04/2009 	 6.123398  	12.68678   	 9.624743  	 7.28756482
02/04/2009 	 6.197052  	14.35588   	 9.555293  	 7.68802685
03/04/2009 	 5.803247  	12.90979   	 9.625708  	 8.18515944
04/04/2009 	 5.207177  	13.30374   	10.115306  	 8.50076681
05/04/2009 	 7.261779  	14.24322   	10.942209  	 8.57493587
06/04/2009 	 8.510468  	15.51671   	11.990231  	 8.72718497
07/04/2009 	 9.276853  	16.56943   	13.510372  	 9.01624117
08/04/2009 	11.153996  	17.42565   	15.317200  	 8.88878908
09/04/2009 	14.401160  	18.40648   	16.373268  	 8.92191772
10/04/2009 	11.371043  	17.92562   	15.413032  	 9.58224664
11/04/2009 	13.015667  	18.66691   	15.771469  	10.11393607
12/04/2009 	13.174305  	18.71011   	16.263773  	10.47761786
13/04/2009 	13.737911  	18.68630   	16.706578  	10.70734270
14/04/2009 	14.380191  	18.78915   	17.020382  	10.87374159
15/04/2009 	14.842113  	18.93525   	17.153059  	11.25781316
16/04/2009 	15.141616  	19.18053   	17.441664  	11.65567557
17/04/2009 	14.799383  	19.79122   	17.635249  	11.65619405
18/04/2009 	15.047402  	21.38177   	18.944725  	11.08217802
19/04/2009 	15.984289  	22.10049   	18.824427  	11.11139907
20/04/2009 	17.121037  	20.37335   	18.542773  	11.61787476
21/04/2009 	16.944487  	22.34932   	19.025553  	11.94798323
22/04/2009 	17.253693  	23.12013   	19.645326  	12.06368637
23/04/2009 	18.075199  	24.58500   	20.738311  	12.11506977
24/04/2009 	18.760784  	23.65195   	20.721587  	12.39988828
25/04/2009 	19.187590  	23.90301   	20.864604  	12.68625051
26/04/2009 	19.299278  	24.23649   	20.856760  	12.95955149
27/04/2009 	19.441425  	24.31183   	20.959046  	13.09254525
28/04/2009 	19.336170  	23.24092   	20.971774  	13.04567647
29/04/2009 	19.428736  	22.37398   	21.065999  	13.14465362
30/04/2009 	19.635305  	22.91469   	21.333809  	13.38638105
01/05/2009 	19.941347  	23.98352   	21.742523  	13.80213177
02/05/2009 	20.197950  	23.48084   	21.686968  	14.07943104
03/05/2009 	20.415092  	23.60722   	21.815241  	13.89919287
04/05/2009 	20.664505  	23.03966   	21.707839  	13.10918764
05/05/2009 	21.126190  	22.87310   	21.999195  	12.43234551
06/05/2009 	21.593948  	23.70497   	22.801934  	12.37350126
07/05/2009 	20.953249  	23.84544   	23.175159  	12.62634780
08/05/2009 	21.474867  	23.34307   	22.112726  	12.81678073
09/05/2009 	20.934267  	21.78547   	21.407453  	12.69259151
10/05/2009 	20.491673  	21.63678   	21.255518  	13.13910359
11/05/2009 	20.442142  	26.65805   	21.916609  	13.09106066
12/05/2009 	20.682756  	27.24396   	23.906240  	12.68118749
13/05/2009 	20.978088  	27.29109   	24.133536  	12.81148462
14/05/2009 	21.235388  	27.34967   	24.008570  	12.90887709
15/05/2009 	20.769718  	26.90181   	23.237534  	13.12420583
16/05/2009 	20.734211  	23.74923   	22.498377  	13.32580688
17/05/2009 	20.812235  	24.34205   	23.142745  	13.50546982
18/05/2009 	19.712767  	24.76710   	23.526355  	13.47497223
19/05/2009 	18.914728  	24.59431   	22.353139  	13.61033551
20/05/2009 	19.533125  	24.29950   	22.455345  	13.85892125
21/05/2009 	19.780499  	24.29656   	22.637305  	14.18907559
22/05/2009 	20.211151  	24.26249   	22.778638  	14.39175959
23/05/2009 	20.078989  	24.20912   	22.608704  	14.92914339
24/05/2009 	20.019114  	24.12488   	22.428038  	15.69437152
25/05/2009 	20.031597  	23.99683   	22.231864  	16.47171001
26/05/2009 	19.549152  	23.10929   	21.840482  	16.68172435
27/05/2009 	18.237385  	23.45339   	22.304177  	15.81615494
28/05/2009 	19.038494  	23.88534   	21.932732  	15.65192161
29/05/2009 	16.827637  	22.15250   	19.765425  	15.91707786
30/05/2009 	15.724684  	21.82542   	18.801016  	16.05994469
31/05/2009 	17.367527  	24.65577   	20.237743  	16.48115198
01/06/2009 	17.639578  	25.54913   	20.701490  	17.08218590
02/06/2009 	18.673555  	27.89985   	22.190324  	16.88856888
03/06/2009 	19.328972  	29.76172   	25.266064  	15.75905748
04/06/2009 	22.147251  	30.18617   	26.461587  	14.64554423
05/06/2009 	23.766010  	29.63684   	26.987340  	13.67495241
06/06/2009 	24.817724  	29.22801   	26.849251  	13.67398260
07/06/2009 	24.373394  	28.61444   	26.285373  	13.86660488
08/06/2009 	24.018188  	27.86887   	25.475661  	14.61724440
09/06/2009 	21.681143  	27.71940   	24.632632  	15.22738292
10/06/2009 	21.632267  	25.45675   	23.903669  	15.45435699
11/06/2009 	18.402468  	24.18985   	22.132015  	15.70383984
12/06/2009 	17.740959  	24.61384   	21.616912  	15.79133954
13/06/2009 	17.670700  	25.91674   	20.958923  	15.81667312
14/06/2009 	15.514153  	21.87435   	19.313349  	16.37770955
15/06/2009 	14.424145  	21.55093   	18.351361  	16.88613399
16/06/2009 	14.212588  	21.08057   	18.141868  	16.93752686
17/06/2009 	13.990570  	20.73182   	18.319837  	17.03332126
18/06/2009 	15.240140  	21.50994   	19.157574  	17.23498650
19/06/2009 	16.792131  	21.95528   	19.744357  	17.08433755
20/06/2009 	17.976147  	21.86865   	20.070984  	16.74299765
21/06/2009 	18.126524  	21.36691   	19.861103  	16.55501390
22/06/2009 	18.216021  	21.74640   	19.591553  	16.67958866
23/06/2009 	18.445107  	23.49247   	20.630506  	17.16085605
24/06/2009 	19.713108  	27.52791   	22.778308  	17.65264106
25/06/2009 	20.501848  	28.92991   	24.032647  	18.03123113
26/06/2009 	20.812353  	28.59655   	23.612150  	18.68559225
27/06/2009 	21.198441  	28.33531   	23.813505  	19.22666065
28/06/2009 	21.819448  	27.52590   	24.004966  	19.75189368
29/06/2009 	22.145121  	27.69439   	24.337910  	20.52048389
30/06/2009 	21.965292  	28.34163   	24.329145  	21.02995833
01/07/2009 	22.290852  	29.76329   	25.180686  	21.38005511
02/07/2009 	22.036663  	29.89387   	24.843719  	21.65244667
03/07/2009 	22.508371  	29.79453   	24.665355  	21.94169664
04/07/2009 	20.176191  	26.13365   	23.328205  	22.03294909
05/07/2009 	18.531128  	24.96133   	22.269612  	22.44327970
06/07/2009 	17.796547  	23.83147   	22.357629  	22.31876353
07/07/2009 	22.182709  	25.35811   	23.839082  	21.39334158
08/07/2009 	21.753288  	25.80034   	24.182276  	20.84825544
09/07/2009 	22.063873  	25.87501   	24.154338  	19.28161919
10/07/2009 	23.775770  	29.92936   	26.899552  	16.77879477
11/07/2009 	23.722712  	30.80057   	26.852278  	16.49313762
12/07/2009 	19.833584  	25.50614   	23.608421  	17.03018685
13/07/2009 	17.859615  	25.18772   	22.388826  	17.77780080
14/07/2009 	18.202785  	24.03943   	21.222583  	18.70378077
15/07/2009 	18.581150  	23.97611   	22.279671  	19.24242798
16/07/2009 	22.361557  	24.01929   	23.394762  	19.33525209
17/07/2009 	19.822245  	24.07399   	23.275666  	19.39964680
18/07/2009 	22.912672  	23.76379   	23.579100  	19.06204633
19/07/2009 	22.671526  	23.71701   	23.454150  	18.80905974
20/07/2009 	22.490742  	23.76611   	23.345897  	18.82863156
21/07/2009 	22.625004  	23.84736   	23.277997  	18.84008439
22/07/2009 	22.509630  	23.95909   	23.264902  	19.27714841
23/07/2009 	22.601774  	24.00074   	23.231065  	19.40427188
24/07/2009 	22.767637  	23.67062   	23.247791  	19.31732794
25/07/2009 	21.029633  	23.91687   	23.339361  	19.10424264
26/07/2009 	18.343639  	23.81266   	21.805098  	18.96617730
27/07/2009 	18.575703  	21.93615   	20.363412  	19.26677084
28/07/2009 	18.677940  	22.28127   	20.498829  	19.33796120
29/07/2009 	18.399250  	22.40872   	20.441738  	19.40205852
30/07/2009 	20.441597  	24.07504   	22.094892  	19.29232613
31/07/2009 	20.817184  	24.16241   	22.685807  	18.41322096
01/08/2009 	18.887959  	23.47549   	21.972243  	18.51769404
02/08/2009 	18.456635  	22.27928   	20.771868  	18.98377264
03/08/2009 	17.113840  	21.53498   	19.834336  	19.15432310
04/08/2009 	17.479851  	21.36821   	19.779265  	19.49999873
05/08/2009 	17.539131  	21.64859   	19.980955  	19.99388603
06/08/2009 	17.821732  	22.01769   	20.401635  	20.60683016
07/08/2009 	18.209469  	22.22663   	20.967811  	20.92774749
08/08/2009 	19.216990  	22.78742   	21.433232  	20.91793088
09/08/2009 	19.780138  	24.91918   	22.077789  	20.72924344
10/08/2009 	20.649462  	25.27551   	22.432350  	20.85672212
11/08/2009 	19.607285  	23.66198   	21.767117  	21.02896516
12/08/2009 	19.680941  	24.71530   	21.429738  	20.93847823
13/08/2009 	19.764526  	24.27320   	21.601995  	20.70973194
14/08/2009 	19.734741  	24.20442   	21.785004  	20.46423916
15/08/2009 	20.119726  	22.51129   	21.706961  	20.57714184
16/08/2009 	21.453194  	23.03194   	22.267576  	20.42113388
17/08/2009 	20.467314  	22.94493   	21.951567  	20.28401216
18/08/2009 	19.894505  	23.05465   	21.585652  	19.89959979
19/08/2009 	18.078100  	22.40103   	20.658298  	20.02369841
20/08/2009 	18.894247  	22.77488   	20.946788  	20.46078352
21/08/2009 	19.258600  	23.26768   	22.070062  	20.45459811
22/08/2009 	20.941412  	23.49012   	22.488056  	20.21493550
23/08/2009 	20.050135  	23.68032   	22.044092  	20.22352747
24/08/2009 	20.698105  	23.82762   	22.399136  	20.20801310
25/08/2009 	20.850382  	24.36049   	23.032834  	20.72273727
26/08/2009 	21.717646  	24.58379   	23.521545  	20.40210851
27/08/2009 	22.381102  	24.86670   	24.040801  	20.12683682
28/08/2009 	24.580606  	25.48803   	24.996712  	19.08966362
29/08/2009 	25.135265  	26.35164   	25.638932  	17.52782416
30/08/2009 	25.605370  	26.38049   	25.978788  	16.88858799
31/08/2009 	25.050297  	26.32061   	25.437081  	17.12715395
01/09/2009 	22.745386  	25.48471   	25.007671  	17.45332499
02/09/2009 	22.769060  	24.95776   	24.094636  	17.54779371
03/09/2009 	20.026003  	29.05202   	24.868264  	17.27024829
04/09/2009 	26.427853  	29.50204   	28.269646  	16.32309016
05/09/2009 	26.291327  	29.01628   	27.727970  	16.21771065
06/09/2009 	24.033663  	28.80271   	27.450439  	16.00420723
07/09/2009 	22.848690  	28.24936   	25.885702  	15.97782622
08/09/2009 	22.476767  	25.98451   	24.631301  	16.37386729
09/09/2009 	22.837685  	26.58433   	24.897338  	16.76847593
10/09/2009 	23.668896  	27.55003   	25.841216  	16.67998521
11/09/2009 	24.503077  	27.73625   	26.358476  	16.39675057
12/09/2009 	25.349895  	28.24895   	26.991527  	16.30570189
13/09/2009 	25.744686  	28.80113   	27.557551  	16.12184346
14/09/2009 	26.682964  	28.57484   	27.709143  	15.70471772
15/09/2009 	27.089254  	28.80056   	27.794019  	15.69788275
16/09/2009 	26.685310  	28.77416   	27.930753  	15.87358427
17/09/2009 	27.302282  	29.41603   	28.375361  	15.68960279
18/09/2009 	27.581007  	29.36840   	28.388561  	15.74143523
19/09/2009 	27.383368  	29.48316   	28.404936  	15.89799736
20/09/2009 	26.885241  	29.57974   	28.357413  	16.27828026
21/09/2009 	27.643877  	29.93919   	28.636611  	16.31112667
22/09/2009 	27.248758  	30.05981   	28.138081  	16.34143829
23/09/2009 	27.249668  	28.53554   	27.769863  	16.24840081
24/09/2009 	27.565899  	29.44545   	28.151405  	16.04955190
25/09/2009 	27.837059  	29.53093   	28.542318  	15.87605153
26/09/2009 	27.637096  	29.57132   	28.640524  	15.84628588
27/09/2009 	25.869444  	28.80394   	27.636895  	15.90598889
28/09/2009 	25.381317  	28.35333   	27.115676  	16.07750986
29/09/2009 	25.189932  	28.78732   	26.930263  	16.11640493
30/09/2009 	23.466419  	28.88302   	26.168023  	15.95227389
01/10/2009 	22.989410  	28.68346   	25.780897  	15.58763729
02/10/2009 	24.407442  	28.63146   	26.066415  	14.58766276
03/10/2009 	23.918905  	32.69739   	28.638804  	14.03754812
04/10/2009 	28.887661  	31.61710   	29.571530  	13.46916827
05/10/2009 	23.039734  	30.99484   	27.997812  	12.83864170
06/10/2009 	16.588066  	26.50856   	24.440824  	12.97669486
07/10/2009 	21.197287  	26.44973   	24.368446  	13.75958860
08/10/2009 	20.052895  	24.82503   	22.851907  	13.63441594
09/10/2009 	18.995584  	24.31531   	21.734995  	12.92839199
10/10/2009 	16.084711  	23.82922   	20.425049  	12.48813570
11/10/2009 	17.244942  	23.81851   	21.066599  	12.83528342
12/10/2009 	18.038557  	26.37690   	21.408753  	12.08175019
13/10/2009 	18.205969  	27.95815   	23.741417  	10.86435364
14/10/2009 	17.882099  	26.24998   	21.772616  	10.36095063
15/10/2009 	18.307650  	28.92354   	21.940447  	 9.97505969
16/10/2009 	19.698767  	31.94854   	27.964579  	10.31497431
17/10/2009 	28.004646  	31.24985   	29.942534  	 9.49715191
18/10/2009 	27.032804  	32.03659   	29.546456  	 9.49766638
19/10/2009 	22.148653  	31.42060   	27.652097  	 9.51765251
20/10/2009 	17.141485  	28.01829   	24.268848  	 9.12546209
21/10/2009 	13.943810  	26.60808   	21.674131  	 8.56979257
22/10/2009 	12.995420  	26.64173   	21.582559  	 8.62660434
23/10/2009 	20.047407  	27.17028   	24.208360  	 9.11781740
24/10/2009 	21.448112  	27.75401   	25.005701  	 9.59997217
25/10/2009 	26.505285  	27.89529   	27.490387  	10.12400134
26/10/2009 	27.867565  	28.39053   	28.045996  	10.74822521
27/10/2009 	25.141171  	28.46091   	27.799861  	11.11155089
28/10/2009 	24.718975  	27.93071   	26.547433  	11.01624799
29/10/2009 	22.346752  	27.89147   	25.842540  	11.06727028
30/10/2009 	18.608147  	26.73592   	24.272037  	11.15987875
31/10/2009 	18.380430  	25.89188   	23.776964  	10.80073673
01/11/2009 	18.089211  	26.91864   	23.990504  	10.94213752
02/11/2009 	23.516890  	27.36423   	25.817684  	11.11209623
03/11/2009 	17.254883  	27.49162   	25.341890  	10.68721386
