date	smin	smax	smean	tmean
01/01/2009  	19.50296    	23.25701    	21.12747    	 2.226585741
02/01/2009  	19.20028    	23.25377    	20.93271    	 2.183306674
03/01/2009  	18.77582    	23.39270    	21.06541    	 1.966190204
04/01/2009  	18.50004    	23.04598    	19.78546    	 1.921283724
05/01/2009  	17.26625    	23.01361    	19.86790    	 1.626445266
06/01/2009  	20.68033    	23.87929    	22.47531    	 1.290181745
07/01/2009  	20.01962    	23.58070    	22.23697    	 1.202620544
08/01/2009  	20.16749    	23.30929    	22.06416    	 1.093791439
09/01/2009  	20.25956    	23.40745    	22.25895    	 1.086742392
10/01/2009  	20.28400    	23.72361    	22.25007    	 0.930959449
11/01/2009  	20.56090    	23.56045    	22.63651    	 0.821516646
12/01/2009  	21.61799    	27.05559    	23.70871    	 1.141296269
13/01/2009  	23.11342    	29.37506    	26.21148    	 2.215170301
14/01/2009  	23.33467    	28.79581    	25.82993    	 2.355484498
15/01/2009  	23.04199    	28.03901    	25.09095    	 2.230399745
16/01/2009  	23.15062    	27.25785    	25.10391    	 2.286102667
17/01/2009  	22.78069    	25.99399    	24.46451    	 2.378823817
18/01/2009  	22.27013    	26.69879    	24.33360    	 2.706333036
19/01/2009  	25.22454    	27.96724    	27.04063    	 2.976675113
20/01/2009  	26.18200    	29.49592    	27.94456    	 2.982123266
21/01/2009  	26.28894    	29.76035    	28.42256    	 2.868030339
22/01/2009  	26.39342    	29.61601    	28.51997    	 2.638398404
23/01/2009  	27.51106    	29.33118    	28.54674    	 2.580475365
24/01/2009  	26.04221    	28.45462    	27.49552    	 2.789723426
25/01/2009  	25.13107    	28.00285    	26.99620    	 2.775350635
26/01/2009  	25.95817    	27.92248    	27.28145    	 2.656447753
27/01/2009  	26.21337    	27.80201    	27.08948    	 2.454421202
28/01/2009  	25.53130    	27.04089    	26.45854    	 2.258547053
29/01/2009  	24.92051    	26.62340    	25.79378    	 2.047924735
30/01/2009  	24.42941    	25.97669    	25.26907    	 1.748857414
31/01/2009  	24.03333    	25.39014    	24.76421    	 1.400399655
01/02/2009  	23.16155    	24.89583    	24.16673    	 0.929147928
02/02/2009  	23.32275    	24.79930    	23.78705    	 0.565845951
03/02/2009  	23.65113    	24.96970    	24.44267    	 0.794528278
04/02/2009  	24.00635    	25.29070    	24.67549    	 0.913636345
05/02/2009  	24.03708    	25.91656    	24.95211    	 1.026421707
06/02/2009  	23.79214    	26.21508    	25.12601    	 1.292134988
07/02/2009  	23.63755    	25.73150    	24.66194    	 1.410448874
08/02/2009  	22.85367    	25.75468    	24.39891    	 1.451210568
09/02/2009  	21.27673    	25.63153    	23.84800    	 1.494640492
10/02/2009  	21.54450    	25.32863    	23.81173    	 1.604677680
11/02/2009  	21.07304    	24.34753    	22.79663    	 1.684960661
12/02/2009  	19.57218    	24.98369    	22.61493    	 1.836265946
13/02/2009  	19.22456    	25.24310    	22.36416    	 1.986604415
14/02/2009  	20.11761    	25.28629    	22.76988    	 1.988714159
15/02/2009  	19.02437    	24.97809    	22.66313    	 2.005569547
16/02/2009  	18.37364    	23.66097    	21.29930    	 2.226902679
17/02/2009  	18.36186    	23.29330    	21.18244    	 2.514917379
18/02/2009  	19.85187    	23.41736    	21.83681    	 2.584929337
19/02/2009  	18.71531    	22.30555    	21.13408    	 2.554761345
20/02/2009  	17.65359    	21.83842    	19.95605    	 2.728289177
21/02/2009  	17.48200    	21.99806    	19.77036    	 2.841331770
22/02/2009  	16.46499    	21.88402    	19.50295    	 3.067062408
23/02/2009  	15.60555    	20.44081    	17.71687    	 3.466561049
