date	smin	smax	smean	tmean
01/01/2009 	16.053268  	19.40831   	17.93183   	 1.64777724
02/01/2009 	15.629809  	19.14190   	17.61486   	 1.61912175
03/01/2009 	14.800807  	19.10918   	17.06443   	 1.35260924
04/01/2009 	15.525581  	21.88556   	18.41344   	 1.57393090
05/01/2009 	15.298976  	19.68042   	17.34165   	 1.50908611
06/01/2009 	14.758664  	20.20567   	17.79399   	 1.04375812
07/01/2009 	16.204851  	20.69045   	18.46632   	 0.89412802
08/01/2009 	16.634048  	20.29631   	18.51037   	 0.78753204
09/01/2009 	16.509659  	20.54236   	18.85699   	 0.64705077
10/01/2009 	16.784201  	20.69785   	18.99811   	 0.42771123
11/01/2009 	17.589949  	22.02464   	20.06187   	 0.26620871
12/01/2009 	19.590933  	23.13049   	21.19262   	 0.50414702
13/01/2009 	21.134886  	23.88066   	22.27116   	 1.06501607
14/01/2009 	18.919579  	23.88776   	21.88009   	 1.30607336
15/01/2009 	14.682996  	24.02774   	20.16413   	 1.30718045
16/01/2009 	14.430692  	23.31963   	19.72644   	 1.37082356
17/01/2009 	17.293816  	24.32765   	22.14831   	 1.82444968
18/01/2009 	22.843845  	23.87577   	23.35837   	 2.36481989
19/01/2009 	22.573984  	23.36211   	22.96284   	 2.60594042
20/01/2009 	22.823050  	25.60192   	24.06918   	 2.91469767
21/01/2009 	22.665110  	25.85490   	24.62859   	 2.89921016
22/01/2009 	23.103060  	26.88725   	25.33377   	 2.74777572
23/01/2009 	25.160933  	27.71184   	26.82118   	 2.69130975
24/01/2009 	26.003891  	26.70908   	26.43641   	 2.82595198
25/01/2009 	24.429926  	26.95246   	26.17653   	 2.84249152
26/01/2009 	22.002148  	27.13900   	25.56074   	 2.64509201
27/01/2009 	19.490461  	26.50495   	24.40661   	 2.36083685
28/01/2009 	17.834604  	25.42904   	23.08536   	 2.06799192
29/01/2009 	17.846685  	25.06712   	22.32275   	 1.84875755
30/01/2009 	16.735155  	24.12799   	21.08201   	 1.52186659
31/01/2009 	17.924210  	24.00803   	21.49562   	 1.16033479
01/02/2009 	18.516825  	23.99557   	21.54408   	 0.60571584
02/02/2009 	19.196623  	23.44724   	21.95292   	 0.21607807
03/02/2009 	22.213627  	23.74596   	23.13828   	 0.48271737
04/02/2009 	22.805771  	23.93699   	23.49505   	 0.61840598
05/02/2009 	22.943426  	23.91852   	23.57345   	 0.68685355
06/02/2009 	21.960606  	24.22405   	23.57486   	 0.92442245
07/02/2009 	21.284626  	23.92137   	22.81000   	 1.05593850
08/02/2009 	19.960581  	23.11529   	21.69498   	 1.11836741
09/02/2009 	18.947840  	22.49869   	21.12704   	 1.20922125
10/02/2009 	16.824560  	22.59851   	20.87768   	 1.33688954
11/02/2009 	16.578096  	21.28812   	19.12092   	 1.49084417
12/02/2009 	16.123041  	21.01167   	18.63905   	 1.68521259
13/02/2009 	15.299531  	20.82433   	18.01881   	 1.86814494
14/02/2009 	13.984845  	21.21828   	17.89800   	 1.87936739
15/02/2009 	14.256182  	20.52209   	17.79555   	 1.90969269
16/02/2009 	14.737921  	20.00536   	17.84675   	 2.15941615
17/02/2009 	15.421007  	19.65993   	18.03692   	 2.58080571
18/02/2009 	15.233041  	19.63386   	17.77461   	 2.57941066
19/02/2009 	16.366758  	19.44671   	18.25649   	 2.52543863
20/02/2009 	15.629061  	18.63321   	17.54617   	 2.65296404
21/02/2009 	14.488296  	17.44005   	16.36570   	 2.83746764
22/02/2009 	13.788059  	17.15223   	15.65311   	 3.11220946
23/02/2009 	12.002885  	17.38145   	15.30278   	 3.54151520
24/02/2009 	10.230704  	17.00776   	14.11514   	 3.69052595
25/02/2009 	10.456499  	16.87466   	14.17161   	 3.84216725
26/02/2009 	12.242931  	17.11907   	15.26597   	 4.17974856
27/02/2009 	13.163154  	17.55174   	15.51699   	 4.63154802
28/02/2009 	11.942845  	16.15080   	14.35239   	 4.81247290
01/03/2009 	11.063507  	17.41378   	14.45400   	 4.83504498
02/03/2009 	13.022324  	18.24204   	15.68982   	 4.99741254
03/03/2009 	13.377586  	18.04026   	15.90951   	 5.06762905
04/03/2009 	14.029474  	19.51377   	17.24012   	 5.01307754
