date	smin	smax	smean	tmean
01/01/2009 	18.53073   	23.84951   	20.60241   	 1.36926473
02/01/2009 	19.89774   	23.59102   	21.09510   	 1.22712381
03/01/2009 	19.16843   	23.77721   	21.75769   	 1.25668088
04/01/2009 	20.14445   	28.20811   	23.56352   	 1.77859069
05/01/2009 	20.06155   	26.74957   	23.85631   	 1.40878093
06/01/2009 	19.57552   	23.60955   	22.23861   	 0.56135884
07/01/2009 	21.00600   	23.81684   	22.59153   	 0.85195345
08/01/2009 	21.23524   	23.08137   	22.34635   	 0.52250388
09/01/2009 	19.45087   	23.36631   	22.01046   	 0.42695094
10/01/2009 	20.62523   	23.29727   	22.10282   	 0.06670158
11/01/2009 	20.88494   	24.24611   	22.82483   	 0.53048279
12/01/2009 	23.30184   	28.31422   	24.58886   	 1.47516948
13/01/2009 	21.96629   	29.51524   	25.80416   	 2.23949795
14/01/2009 	24.11468   	28.33447   	25.71741   	 2.46329826
15/01/2009 	23.35324   	27.80935   	24.74742   	 2.19766646
16/01/2009 	21.39535   	25.50045   	23.21498   	 1.91950848
17/01/2009 	21.87127   	25.58280   	23.60444   	 2.20722043
18/01/2009 	22.00452   	27.30108   	24.39418   	 2.83127647
19/01/2009 	22.38268   	28.89969   	25.34065   	 2.89239254
20/01/2009 	26.82716   	29.12529   	27.67636   	 2.99072840
21/01/2009 	25.49257   	28.69454   	27.07051   	 2.79082123
22/01/2009 	24.98294   	29.47444   	27.85832   	 2.60848892
23/01/2009 	22.85557   	29.48486   	27.72650   	 2.66736277
24/01/2009 	27.05807   	28.85254   	27.91908   	 2.79923720
25/01/2009 	26.34630   	28.03466   	27.20482   	 2.75582753
26/01/2009 	26.22891   	27.70042   	26.76470   	 2.48133522
27/01/2009 	25.03516   	27.33146   	26.64062   	 2.13011850
28/01/2009 	24.48525   	26.44939   	25.65698   	 1.58621693
29/01/2009 	21.99959   	25.55615   	24.20229   	 1.23499555
30/01/2009 	19.31870   	24.59459   	22.67034   	 0.89975714
31/01/2009 	17.48018   	24.45922   	21.67580   	 0.63465896
01/02/2009 	17.61922   	23.91711   	21.10995   	 0.03472152
02/02/2009 	18.42320   	23.56397   	21.03870   	-0.31995134
03/02/2009 	21.71541   	24.45951   	23.10702   	 0.55893625
04/02/2009 	22.42577   	24.78465   	23.85805   	 0.79774363
05/02/2009 	23.16726   	24.94017   	23.91341   	 0.93667869
06/02/2009 	22.12081   	25.66582   	24.10630   	 1.30987382
07/02/2009 	23.20865   	25.68297   	24.15424   	 1.42925290
08/02/2009 	22.69133   	25.61144   	24.11531   	 1.42841978
09/02/2009 	21.70465   	25.08332   	23.51403   	 1.47109259
10/02/2009 	22.33868   	25.49739   	23.75725   	 1.63071562
11/02/2009 	22.70008   	24.92210   	24.02697   	 1.83328682
12/02/2009 	23.26898   	25.93655   	24.86188   	 2.03433343
13/02/2009 	23.30033   	26.12500   	25.06855   	 2.20635512
14/02/2009 	21.57673   	25.92009   	24.62766   	 2.05961024
15/02/2009 	18.46208   	25.56243   	23.13786   	 2.01278839
16/02/2009 	21.22778   	25.08871   	23.03954   	 2.38132447
17/02/2009 	20.34971   	25.64473   	23.20870   	 2.81988215
18/02/2009 	17.94748   	22.76243   	21.40270   	 2.68401432
19/02/2009 	17.48257   	21.68800   	20.49662   	 2.54430662
20/02/2009 	20.70575   	21.48758   	21.11674   	 2.83410657
21/02/2009 	15.61742   	22.06824   	20.52719   	 3.03735812
22/02/2009 	16.98560   	23.03427   	20.57453   	 3.27707406
23/02/2009 	19.05325   	25.12725   	21.82639   	 3.89785408
24/02/2009 	18.16760   	24.75715   	21.61638   	 4.08801049
25/02/2009 	15.47753   	22.78282   	19.88922   	 4.14016890
26/02/2009 	16.89409   	21.30443   	19.50913   	 4.27369142
27/02/2009 	16.85390   	23.82661   	19.53510   	 4.77291017
28/02/2009 	16.17484   	24.44818   	20.26209   	 5.13414322
01/03/2009 	18.01999   	23.18165   	20.75794   	 5.15466432
02/03/2009 	18.60777   	22.09301   	20.78640   	 5.27369591
03/03/2009 	17.83447   	21.90177   	19.77412   	 5.21908100
04/03/2009 	18.61538   	21.44311   	19.97563   	 4.90783095
05/03/2009 	18.25648   	22.99240   	21.00226   	 4.82087714
06/03/2009 	18.48029   	22.21332   	20.22030   	 4.87684539
07/03/2009 	19.11332   	22.05494   	19.95506   	 4.75365320
