date	smin	smax	smean	tmean
01/01/2009 	19.49489   	23.67743   	21.73538   	 2.36739067
02/01/2009 	19.45042   	23.75554   	21.58847   	 2.25967750
03/01/2009 	19.18720   	23.87873   	21.94353   	 2.06426104
04/01/2009 	18.80876   	23.79911   	20.45264   	 1.94567849
05/01/2009 	17.73096   	24.04475   	20.95955   	 1.68597992
06/01/2009 	21.43005   	24.34357   	23.13671   	 1.38826141
07/01/2009 	20.09417   	23.65441   	22.67575   	 1.34049093
08/01/2009 	20.70583   	23.38572   	22.53547   	 1.22903486
09/01/2009 	20.82121   	23.73086   	22.80253   	 1.22991828
10/01/2009 	20.58564   	23.84016   	22.62758   	 1.05981173
11/01/2009 	20.79136   	24.37078   	23.06439   	 0.98360337
12/01/2009 	21.79049   	27.77073   	24.30562   	 1.32866868
13/01/2009 	24.39219   	29.70479   	27.27517   	 2.47465599
14/01/2009 	23.82566   	29.52222   	26.68070   	 2.57790521
15/01/2009 	23.31314   	28.56303   	25.80791   	 2.40315691
16/01/2009 	23.31793   	27.43754   	25.43296   	 2.37229334
17/01/2009 	23.79597   	26.13256   	24.80648   	 2.41792967
18/01/2009 	23.18038   	27.90514   	25.28747   	 2.74133824
19/01/2009 	25.31250   	28.50224   	27.57901   	 2.96632350
20/01/2009 	26.83448   	29.78551   	28.53809   	 2.96315166
21/01/2009 	27.50504   	29.81296   	29.08924   	 2.88115848
22/01/2009 	27.34875   	29.71719   	28.92312   	 2.62474279
23/01/2009 	28.06019   	29.69563   	28.90497   	 2.59171550
24/01/2009 	27.00744   	28.57689   	27.96484   	 2.75020801
25/01/2009 	25.62003   	28.37373   	27.35641   	 2.76413519
26/01/2009 	25.94994   	28.09791   	27.47240   	 2.65907625
27/01/2009 	26.24004   	27.73366   	27.12927   	 2.47909932
28/01/2009 	25.77197   	26.92518   	26.49645   	 2.28046479
29/01/2009 	25.10587   	26.50618   	25.80687   	 2.06970873
30/01/2009 	24.59621   	25.92986   	25.16301   	 1.78397605
31/01/2009 	24.17886   	25.38244   	24.77972   	 1.46634356
01/02/2009 	23.42026   	24.86882   	24.29911   	 1.01924672
02/02/2009 	23.37033   	24.91382   	23.96276   	 0.63543416
03/02/2009 	23.78728   	25.19894   	24.61272   	 0.83188824
04/02/2009 	24.21066   	25.46134   	24.88675   	 0.95015841
05/02/2009 	24.35661   	26.12981   	25.28569   	 1.08289730
06/02/2009 	23.96078   	26.48398   	25.58150   	 1.35436149
07/02/2009 	23.74776   	26.17635   	25.11281   	 1.45863256
08/02/2009 	23.36174   	25.91566   	24.80052   	 1.48097894
09/02/2009 	22.01244   	25.94574   	24.52529   	 1.53754175
10/02/2009 	21.78669   	25.52442   	24.21381   	 1.63191595
11/02/2009 	21.24428   	24.78476   	23.29630   	 1.70388711
12/02/2009 	20.53534   	25.38991   	23.31311   	 1.87590854
13/02/2009 	19.91276   	25.53485   	23.29459   	 2.03959017
14/02/2009 	20.25122   	25.57302   	23.69604   	 2.03084805
15/02/2009 	20.13243   	25.30014   	23.45820   	 2.02062615
16/02/2009 	19.29481   	23.97514   	22.07687   	 2.20596354
17/02/2009 	20.21063   	23.67339   	22.50774   	 2.49875781
18/02/2009 	21.33660   	23.63270   	22.66692   	 2.64275656
19/02/2009 	20.41585   	22.72097   	21.89916   	 2.57355802
20/02/2009 	18.28692   	22.19018   	20.84490   	 2.69418174
21/02/2009 	18.19347   	22.40808   	20.61014   	 2.81647863
22/02/2009 	16.94455   	22.45674   	20.54594   	 3.04699007
23/02/2009 	16.55017   	21.49730   	18.92419   	 3.49155571
24/02/2009 	15.39665   	21.80172   	19.83001   	 3.83303945
25/02/2009 	16.78494   	21.34624   	19.89212   	 3.92505428
26/02/2009 	15.37105   	20.64091   	19.00433   	 4.12282464
27/02/2009 	15.00960   	20.69293   	17.79463   	 4.44526683
28/02/2009 	15.43523   	21.35935   	18.66022   	 4.68471035
01/03/2009 	16.64968   	21.61660   	19.76464   	 4.74103727
02/03/2009 	17.43076   	21.84580   	20.18528   	 4.83315344
03/03/2009 	19.11761   	22.20329   	21.01162   	 4.91482835
04/03/2009 	19.66512   	22.14200   	21.34608   	 4.75272766
05/03/2009 	20.18180   	23.94953   	22.03778   	 4.72697445
06/03/2009 	19.04629   	22.44350   	20.50191   	 4.83689693
07/03/2009 	18.71408   	22.75557   	20.49330   	 4.80309168
08/03/2009 	18.52612   	23.24672   	21.47536   	 4.90846391
09/03/2009 	18.11502   	23.86347   	21.72109   	 4.93144474
10/03/2009 	16.25735   	24.58868   	21.12399   	 4.93108886
11/03/2009 	17.78068   	23.42806   	20.57781   	 4.96145934
12/03/2009 	17.40335   	22.97339   	20.69073   	 5.11324975
13/03/2009 	17.34696   	23.34827   	20.86013   	 5.30017330
14/03/2009 	17.56101   	23.11186   	20.92615   	 5.48477571
15/03/2009 	16.96639   	22.17082   	20.13228   	 5.71768273
16/03/2009 	16.08933   	22.17602   	19.96272   	 5.99893338
17/03/2009 	16.53942   	21.96414   	19.92712   	 6.20354116
18/03/2009 	15.85410   	20.61133   	18.99549   	 6.39984989
19/03/2009 	17.07342   	20.58988   	19.36567   	 6.46554938
20/03/2009 	17.21902   	20.32208   	19.00057   	 6.63613599
21/03/2009 	17.83697   	21.93877   	20.12160   	 6.52600206
22/03/2009 	13.74572   	21.67182   	18.31065   	 6.55658323
