date	smin	smax	smean	tmean
01/01/2009 	19.13699   	25.35235   	22.60463   	 2.40195178
02/01/2009 	19.04480   	25.37400   	22.41739   	 2.22047997
03/01/2009 	19.37159   	25.10971   	22.62467   	 1.94717792
04/01/2009 	19.38293   	25.06892   	22.13029   	 1.87621176
05/01/2009 	19.92391   	25.85563   	22.91906   	 1.59771198
06/01/2009 	21.09121   	24.36124   	23.13850   	 1.30465398
07/01/2009 	20.90951   	24.34176   	23.11819   	 1.44833150
08/01/2009 	21.26405   	24.14004   	23.13869   	 1.24836198
09/01/2009 	20.94285   	24.41770   	23.09380   	 1.16545399
10/01/2009 	20.45856   	24.60973   	22.92432   	 0.96246114
11/01/2009 	21.65952   	25.69096   	23.85792   	 1.15258591
12/01/2009 	23.22913   	29.93682   	25.75299   	 1.86710008
13/01/2009 	24.11499   	30.60183   	27.95971   	 2.73041449
14/01/2009 	22.76025   	30.15398   	26.92428   	 2.67532228
15/01/2009 	22.90463   	29.25965   	26.01073   	 2.45723015
16/01/2009 	23.58151   	27.60182   	25.56573   	 2.42073155
17/01/2009 	22.91633   	26.81983   	24.91609   	 2.45906692
18/01/2009 	22.98258   	29.05337   	26.01026   	 2.82531381
19/01/2009 	25.71546   	30.18134   	28.31874   	 2.90059614
20/01/2009 	27.65183   	30.27020   	29.19507   	 2.90446286
21/01/2009 	27.61207   	30.23018   	29.28075   	 2.80438783
22/01/2009 	27.70695   	30.14642   	29.35500   	 2.60223086
23/01/2009 	27.86556   	29.86084   	29.01300   	 2.62280655
24/01/2009 	27.54380   	29.13247   	28.53405   	 2.76929056
25/01/2009 	26.58188   	28.84855   	28.02167   	 2.76459347
26/01/2009 	26.91853   	28.37903   	27.73637   	 2.63239343
27/01/2009 	25.24793   	27.54657   	27.02056   	 2.35576304
28/01/2009 	25.52269   	27.12394   	26.41122   	 2.09753179
29/01/2009 	23.14413   	26.40649   	25.46504   	 1.84309590
30/01/2009 	22.85067   	25.78460   	24.78722   	 1.63366905
31/01/2009 	23.26542   	25.18412   	24.52194   	 1.34921409
01/02/2009 	22.08252   	24.77760   	23.89164   	 0.85458009
02/02/2009 	22.39433   	25.14396   	23.82338   	 0.55738231
03/02/2009 	23.61920   	25.65052   	24.66749   	 0.83931365
04/02/2009 	23.71850   	26.40514   	24.98802   	 1.00264185
05/02/2009 	23.96829   	26.86240   	25.46627   	 1.16933921
06/02/2009 	23.36877   	27.07413   	25.65513   	 1.42463078
07/02/2009 	23.40845   	27.07307   	25.33089   	 1.52802614
08/02/2009 	23.30992   	26.86969   	25.11233   	 1.57776215
09/02/2009 	22.98213   	26.49137   	24.88077   	 1.60433010
10/02/2009 	22.03074   	26.31797   	24.37362   	 1.67784332
11/02/2009 	22.70639   	24.93270   	24.13820   	 1.77453592
12/02/2009 	23.01269   	26.00562   	24.63087   	 1.99519401
13/02/2009 	23.30193   	26.08312   	25.03206   	 2.17795984
14/02/2009 	21.83554   	26.17048   	24.85406   	 2.06520160
15/02/2009 	21.07870   	25.36074   	23.77464   	 2.06087743
16/02/2009 	20.83514   	24.34658   	22.90352   	 2.34786624
17/02/2009 	20.81103   	24.27131   	22.95987   	 2.70244948
18/02/2009 	19.89445   	24.30137   	22.48622   	 2.65554091
19/02/2009 	20.75184   	22.95004   	22.10606   	 2.57765940
20/02/2009 	20.07585   	23.44486   	21.82450   	 2.78929776
21/02/2009 	19.26447   	23.98489   	21.84152   	 2.94080783
22/02/2009 	18.82338   	24.56366   	21.62343   	 3.14926231
23/02/2009 	18.25456   	24.14999   	20.93577   	 3.60218459
24/02/2009 	18.69928   	22.84504   	21.17486   	 3.86605795
25/02/2009 	17.62858   	22.33065   	20.63319   	 3.94900511
26/02/2009 	17.43514   	22.80463   	20.53778   	 4.09521020
27/02/2009 	16.93366   	22.75822   	19.58167   	 4.49477067
28/02/2009 	16.98935   	22.60504   	19.78444   	 4.81652318
01/03/2009 	17.52478   	22.67615   	20.36059   	 4.90407517
02/03/2009 	18.08561   	22.91537   	21.01467   	 5.03687374
03/03/2009 	18.67595   	23.13148   	21.40227   	 4.99874011
04/03/2009 	20.82831   	22.89785   	21.73727   	 4.74893915
05/03/2009 	20.16892   	25.93323   	22.86599   	 4.70457210
06/03/2009 	19.52478   	24.14944   	21.78672   	 4.79047299
07/03/2009 	18.69813   	24.17458   	21.58763   	 4.74798080
08/03/2009 	18.73873   	25.02035   	22.77180   	 4.83419374
09/03/2009 	21.14063   	26.52961   	23.85304   	 4.79420993
10/03/2009 	18.86228   	26.39417   	22.55957   	 4.84793467
11/03/2009 	19.85677   	24.65587   	22.24544   	 4.86684335
12/03/2009 	19.57869   	24.85084   	22.06424   	 5.04147329
13/03/2009 	19.11334   	24.11290   	21.78919   	 5.30233723
14/03/2009 	19.28857   	23.46115   	21.52357   	 5.56334621
15/03/2009 	19.80044   	23.16573   	21.63965   	 5.76453074
16/03/2009 	18.66737   	22.82956   	21.18178   	 6.09132392
17/03/2009 	17.44593   	22.32097   	20.47241   	 6.34472174
18/03/2009 	17.44337   	22.33504   	19.87971   	 6.47320027
19/03/2009 	17.78116   	21.48177   	19.77900   	 6.51688330
20/03/2009 	17.59304   	22.08735   	19.91964   	 6.53177873
21/03/2009 	18.30419   	24.33252   	21.42808   	 6.34108281
22/03/2009 	16.15198   	24.08091   	20.72312   	 6.33916195
23/03/2009 	14.30338   	22.82663   	19.48623   	 6.52670464
24/03/2009 	14.69082   	22.53829   	19.16382   	 6.43414121
25/03/2009 	15.15793   	23.25132   	19.99759   	 6.42822268
26/03/2009 	16.10313   	22.46931   	19.77598   	 6.42059030
27/03/2009 	17.38454   	24.05286   	21.03406   	 6.34279120
28/03/2009 	15.70229   	25.40770   	20.89285   	 6.32064314
29/03/2009 	17.89214   	24.29936   	21.02731   	 6.29750252
30/03/2009 	17.69178   	23.20829   	20.34388   	 6.27977711
31/03/2009 	16.78073   	23.09824   	20.27084   	 6.49103269
01/04/2009 	16.77577   	22.78324   	20.21812   	 6.80941158
02/04/2009 	17.94570   	22.70167   	20.53558   	 7.17922288
03/04/2009 	17.96601   	23.18107   	20.77775   	 7.51822367
04/04/2009 	18.36465   	23.53063   	21.15928   	 7.69885005
